"","day_start","day_end","night_start","night_end"
"135",2020-09-12 09:53:00,2020-09-12 16:00:00,2020-09-12 18:43:00,2020-09-12 05:00:00
"136",2020-09-13 10:13:00,2020-09-13 16:15:00,2020-09-13 18:26:00,2020-09-13 05:06:00
"137",2020-09-14 09:42:00,2020-09-14 16:03:00,2020-09-14 18:20:00,2020-09-14 05:04:00
"138",2020-09-15 09:05:00,2020-09-15 16:03:00,2020-09-15 18:14:00,2020-09-15 05:05:00
"139",2020-09-16 09:22:00,2020-09-16 16:00:00,2020-09-16 18:19:00,2020-09-16 05:06:00
"140",2020-09-17 09:45:00,2020-09-17 16:08:00,2020-09-17 19:27:00,2020-09-17 05:05:00
"141",2020-09-18 09:12:00,2020-09-18 16:08:00,2020-09-18 19:06:00,2020-09-18 05:08:00
"142",2020-09-19 09:12:00,2020-09-19 16:10:00,2020-09-19 18:41:00,2020-09-19 05:06:00
"143",2020-09-20 09:35:00,2020-09-20 16:10:00,2020-09-20 17:57:00,2020-09-20 05:11:00
"144",2020-09-21 08:36:00,2020-09-21 15:58:00,2020-09-21 18:35:00,2020-09-21 05:07:00
"145",2020-09-22 08:28:00,2020-09-22 16:06:00,2020-09-22 18:00:00,2020-09-22 05:06:00
"146",2020-09-23 08:15:00,2020-09-23 15:57:00,2020-09-23 18:15:00,2020-09-23 05:03:00
"147",2020-09-24 07:45:00,2020-09-24 16:00:00,2020-09-24 18:54:00,2020-09-24 05:00:00
"148",2020-09-25 08:15:00,2020-09-25 16:02:00,2020-09-25 18:30:00,2020-09-25 05:05:00
"149",2020-09-26 07:45:00,2020-09-26 16:02:00,2020-09-26 18:41:00,2020-09-26 05:06:00
"150",2020-09-27 09:45:00,2020-09-27 16:02:00,2020-09-27 18:36:00,2020-09-27 05:10:00
"151",2020-09-28 09:46:00,2020-09-28 16:00:00,2020-09-28 18:59:00,2020-09-28 05:07:00
"152",2020-09-29 09:36:00,2020-09-29 16:03:00,2020-09-29 18:15:00,2020-09-29 05:11:00
"153",2020-09-30 09:08:00,2020-09-30 16:00:00,2020-09-30 18:06:00,2020-09-30 05:10:00
"154",2020-10-01 09:20:00,2020-10-01 16:08:00,2020-10-01 18:40:00,2020-10-01 05:04:00
"155",2020-10-02 08:45:00,2020-10-02 16:12:00,2020-10-02 18:55:00,2020-10-02 05:15:00
"156",2020-10-03 08:15:00,2020-10-03 16:05:00,2020-10-03 19:30:00,2020-10-03 05:06:00
"157",2020-10-04 07:45:00,2020-10-04 16:09:00,2020-10-04 18:37:00,2020-10-04 05:01:00
"158",2020-10-05 09:45:00,2020-10-05 16:03:00,2020-10-05 18:35:00,2020-10-05 05:05:00
"159",2020-10-06 08:15:00,2020-10-06 16:12:00,2020-10-06 18:55:00,2020-10-06 05:06:00
"160",2020-10-07 07:45:00,2020-10-07 16:12:00,2020-10-07 18:55:00,2020-10-07 05:04:00
"161",2020-10-08 09:45:00,2020-10-08 16:12:00,2020-10-08 18:55:00,2020-10-08 05:08:00
"162",2020-10-09 09:23:00,2020-10-09 16:14:00,2020-10-09 19:00:00,2020-10-09 05:04:00
"163",2020-10-10 09:16:00,2020-10-10 15:55:00,2020-10-10 18:55:00,2020-10-10 05:12:00
"164",2020-10-11 09:25:00,2020-10-11 16:05:00,2020-10-11 19:10:00,2020-10-11 05:08:00
"165",2020-10-12 09:47:00,2020-10-12 16:00:00,2020-10-12 18:41:00,2020-10-12 05:00:00
"166",2020-10-13 09:20:00,2020-10-13 16:06:00,2020-10-13 18:53:00,2020-10-13 05:11:00
"167",2020-10-14 09:14:00,2020-10-14 16:03:00,2020-10-14 18:15:00,2020-10-14 05:14:00
"168",2020-10-15 09:10:00,2020-10-15 16:07:00,2020-10-15 18:43:00,2020-10-15 05:02:00
"169",2020-10-16 08:31:00,2020-10-16 16:05:00,2020-10-16 19:01:00,2020-10-16 05:06:00
"170",2020-10-17 09:21:00,2020-10-17 16:09:00,2020-10-17 19:00:00,2020-10-17 05:14:00
"171",2020-10-18 09:50:00,2020-10-18 16:02:00,2020-10-18 18:47:00,2020-10-18 05:10:00
"172",2020-10-19 09:05:00,2020-10-19 16:02:00,2020-10-19 18:49:00,2020-10-19 05:08:00
"173",2020-10-20 09:10:00,2020-10-20 16:07:00,2020-10-20 19:29:00,2020-10-20 05:08:00
"174",2020-10-21 09:22:00,2020-10-21 16:01:00,2020-10-21 18:36:00,2020-10-21 05:10:00
"175",2020-10-22 08:44:00,2020-10-22 16:03:00,2020-10-22 18:45:00,2020-10-22 05:16:00
"176",2020-10-23 08:34:00,2020-10-23 16:05:00,2020-10-23 18:24:00,2020-10-23 05:06:00
"177",2020-10-24 09:32:00,2020-10-24 16:04:00,2020-10-24 19:10:00,2020-10-24 05:14:00
"178",2020-10-25 09:16:00,2020-10-25 16:04:00,2020-10-25 18:50:00,2020-10-25 05:10:00
"179",2020-10-26 10:12:00,2020-10-26 16:04:00,2020-10-26 18:39:00,2020-10-26 05:06:00
"180",2020-10-27 08:38:00,2020-10-27 16:03:00,2020-10-27 19:06:00,2020-10-27 05:05:00
"181",2020-10-28 09:23:00,2020-10-28 16:07:00,2020-10-28 19:09:00,2020-10-28 05:00:00
"182",2020-10-29 09:25:00,2020-10-29 16:07:00,2020-10-29 19:09:00,2020-10-29 05:00:00
"183",2020-10-30 09:32:00,2020-10-30 16:07:00,2020-10-30 19:14:00,2020-10-30 05:06:00
"184",2020-10-31 09:24:00,2020-10-31 16:02:00,2020-10-31 18:40:00,2020-10-31 05:04:00
"185",NA,NA,NA,NA
"186",NA,NA,NA,NA
"187",NA,NA,NA,NA
"188",NA,NA,NA,NA
"189",NA,NA,NA,NA
"190",NA,NA,NA,NA
"191",NA,NA,NA,NA
"192",NA,NA,NA,NA
"193",NA,NA,NA,NA
"194",NA,NA,NA,NA
"195",NA,NA,NA,NA
"196",NA,NA,NA,NA
"197",NA,NA,NA,NA
"198",NA,NA,NA,NA
"199",NA,NA,NA,NA
"200",NA,NA,NA,NA
"201",NA,NA,NA,NA
"202",NA,NA,NA,NA
"203",NA,NA,NA,NA
"204",NA,NA,NA,NA
"205",NA,NA,NA,NA
"206",NA,NA,NA,NA
"207",NA,NA,NA,NA
"208",NA,NA,NA,NA
"209",NA,NA,NA,NA
"210",NA,NA,NA,NA
"211",NA,NA,NA,NA
"212",NA,NA,NA,NA
"213",NA,NA,NA,NA
"214",NA,NA,NA,NA
"215",NA,NA,NA,NA
"216",NA,NA,NA,NA
"217",NA,NA,NA,NA
"218",NA,NA,NA,NA
"219",NA,NA,NA,NA
"220",NA,NA,NA,NA
"221",NA,NA,NA,NA
"222",NA,NA,NA,NA
"223",NA,NA,NA,NA
"224",NA,NA,NA,NA
"225",NA,NA,NA,NA
"226",NA,NA,NA,NA
"227",NA,NA,NA,NA
"228",NA,NA,NA,NA
"229",NA,NA,NA,NA
"230",NA,NA,NA,NA
"231",NA,NA,NA,NA
"232",NA,NA,NA,NA
"233",NA,NA,NA,NA
"234",NA,NA,NA,NA
